Date,Close
2020-03-27,1711.723182338452
2020-03-30,1836.971323029892
2020-03-31,1764.8586879632412
2020-04-01,1764.8587042752677
2020-04-02,1734.4956296258222
2020-04-03,1821.7895289179105
2020-04-06,1907.185935974121
2020-04-07,2049.513252667683
2020-04-08,1964.116809772995
2020-04-09,1821.7897233003207
2020-04-13,1776.2447960360737
2020-04-14,1700.3369290207877
2020-04-15,1761.0633611505682
2020-04-16,1669.9738346199526
2020-04-17,1601.656734936858
2020-04-20,1688.9509313657572
2020-04-21,1658.5876161772628
2020-04-22,1643.4058875952635
2020-04-23,1704.1323394097224
2020-04-24,1707.9277680298992
2020-04-27,1635.8153117352222
2020-04-28,1590.270569877165
2020-04-29,1594.0658569335938
2020-04-30,1544.725695417601
2020-05-04,1692.7462035848266
2020-05-05,1632.0197748120927
2020-05-06,1613.0428314208984
2020-05-08,1594.0657958984375
2020-05-11,1624.4290006741282
2020-05-12,1605.4520577219062
2020-05-13,1514.362579269599
2020-05-14,1506.7716976117483
2020-05-15,1499.1809844970703
2020-05-18,1442.2501233828966
2020-05-19,1427.068630080149
2020-05-20,1461.2271365603883
2020-05-26,1567.4982463557544
2020-05-27,1575.0889286681684
2020-05-28,1575.088956250455
2020-05-29,1628.224396366401
2020-06-02,1726.9047685102985
2020-06-03,1772.4493877897537
2020-06-04,1859.7436420206795
2020-06-05,1795.2217418552675
2020-06-08,1897.697521391369
2020-06-09,2011.559410637589
2020-06-10,1973.6055244399183
2020-06-11,1821.7897537979743
2020-06-12,1742.0863868385736
2020-06-15,1840.7666507009733
2020-06-16,1829.380318621735
2020-06-17,1935.651429468272
2020-06-18,1836.9710384384723
2020-06-19,1852.15283203125
2020-06-22,1852.1526015949844
2020-06-23,1840.7665098186328
2020-06-24,1855.948148323726
2020-06-25,1926.162887345499
2020-06-26,1945.1398223876952
2020-06-29,1890.106751229599
2020-06-30,1907.186044404001
2020-07-01,1897.6976169135144
2020-07-02,1890.106598144531
2020-07-03,1882.5158085937496
2020-07-06,1897.6975013469823
2020-07-07,1945.140024317373
2020-07-08,1916.674532777325
2020-07-09,2030.536347888765
2020-07-10,1992.58253014606
2020-07-13,1992.5823974609373
2020-07-14,2011.5595703125
2020-07-15,2030.5363862096417
2020-07-16,2002.0709228515625
2020-07-17,2002.0710183848507
2020-07-20,1964.116828469669
2020-07-21,1954.6286390772405
2020-07-22,2040.0247347080208
2020-07-23,2077.9786184210525
2020-07-24,2163.3750915527344
2020-07-27,2134.909797830785
2020-07-28,2239.283128004808
2020-07-29,2220.305921052632
2020-07-30,2172.863398058661
2020-08-03,2220.3063720703126
2020-08-04,2096.955643042321
2020-08-05,2106.4440789473683
2020-08-06,2163.3751141436687
2020-08-07,2163.3749116042563
2020-08-10,2201.328857421875
2020-08-11,2210.817371575902
2020-08-12,2277.2370426829266
2020-08-13,2372.12201583484
2020-08-14,2305.7025617544086
2020-08-18,2286.725530360772
2020-08-19,2343.656627217277
2020-08-24,2296.214282226563
2020-08-25,2296.21369140625
2020-08-26,2372.1219761165107
2020-08-27,2410.075852167038
2020-08-28,2381.610275084714
2020-08-31,2362.633371561516
2020-09-01,2267.748280054209
2020-09-02,2324.6793670026364
2020-09-03,2305.702237308774
2020-09-04,2258.259971650844
2020-09-07,2248.771615835337
2020-09-08,2239.282831295764
2020-09-09,2239.283012885552
2020-09-10,2096.9555788971657
2020-09-11,1916.6744724778823
2020-09-14,2077.9789242951765
2020-09-15,2182.352181993392
2020-09-16,2182.35214368432
2020-09-17,2125.42110426009
2020-09-18,2115.9326171875
2020-09-21,2115.932709715682
2020-09-22,2011.5595703125
2020-09-23,2011.5592956542969
2020-09-24,1916.6744763604524
2020-09-25,1973.605331848715
2020-09-28,2049.513292627428
2020-09-29,1973.605401400862
2020-09-30,1935.6516487367687
2020-10-01,1897.6974487304688
2020-10-02,1964.1168594360352
2020-10-05,1992.582306193414
2020-10-06,2087.467529296875
2020-10-07,2049.51317039696
2020-10-08,2106.444183629588
2020-10-09,2068.4901441969314
2020-10-12,2115.932693142361
2020-10-13,2134.9097432544054
2020-10-14,2172.863601486404
2020-10-15,2163.3750915527344
2020-10-16,2125.42110426009
2020-10-19,2125.421052631579
2020-10-20,2172.8636561030835
2020-10-21,2153.886486761171
2020-10-22,2087.4672090022937
2020-10-23,2096.955604896889
2020-10-26,2134.909652115463
2020-10-27,2182.35208882914
2020-11-02,2153.88645213618
2020-11-03,2267.748815917969
2020-11-04,2258.2598684210525
2020-11-05,2229.7943447224766
2020-11-06,2267.7486471381067
2020-11-09,2372.121919461382
2020-11-10,2429.0529411764705
2020-11-11,2438.541429227941
2020-11-12,2419.564144736842
2020-11-13,2315.1906640625
2020-11-16,2391.0989714591733
2020-11-17,2381.610068359375
2020-11-18,2334.1680244986464
2020-11-19,2372.121939074852
2020-11-20,2381.610389346168
2020-11-23,2391.0987854003906
2020-11-24,2448.029747157709
2020-11-25,2467.006630148468
2020-11-26,2504.960639811803
2020-11-27,2571.3799342105262
2020-11-30,2485.983792150445
2020-12-01,2400.5872208752394
2020-12-02,2476.4950657894738
2020-12-03,2523.937876886288
2020-12-04,2467.0067434599905
2020-12-07,2533.426306881122
2020-12-08,2533.42626953125
2020-12-10,2571.3801646513098
2020-12-11,2599.8455896131227
2020-12-14,2552.403076171875
2020-12-15,2542.914794921875
2020-12-16,2580.8686145064576
2020-12-17,2571.3800355113635
2020-12-18,2580.868747084888
2020-12-21,2571.380259044135
2020-12-22,2495.4721450805664
2020-12-23,2467.006855161171
2020-12-28,2467.006630148468
2020-12-29,2495.47218411813
2020-12-30,2476.495304394145
2021-01-04,2410.075670447716
2021-01-05,2485.9836967260458
2021-01-06,2438.541259765625
2021-01-07,2448.029579663369
2021-01-08,2457.5184223670085
2021-01-11,2495.472335481296
2021-01-12,2618.8225852911423
2021-01-13,2675.7534726139443
2021-01-14,2675.753606865876
2021-01-15,2609.333999803961
2021-01-18,2504.9606977662456
2021-01-19,2656.776573700717
2021-01-20,2656.776449947034
2021-01-21,2799.1038144868
2021-01-22,2761.149787902832
2021-01-25,2751.6612097335187
2021-01-26,2770.638297801907
2021-01-27,2808.592131314212
2021-01-28,2713.707614763409
2021-01-29,2694.730665547766
2021-02-01,2523.9378188403684
2021-02-02,2580.8683940637065
2021-02-03,2504.9605393629804
2021-02-04,2495.472412109375
2021-02-05,2542.914815422233
2021-02-08,2504.960900368346
2021-02-09,2504.9605393629804
2021-02-10,2495.4720524714544
2021-02-11,2485.983565579928
2021-02-15,2485.983565579928
2021-02-16,2467.0065531491314
2021-02-17,2448.02987935224
2021-02-18,2372.12158203125
2021-02-19,2372.122012867647
2021-02-22,2448.029917279412
2021-02-23,2391.0989145874505
2021-02-24,2410.075965073529
2021-02-25,2438.541276301046
2021-02-26,2343.6564564278456
2021-03-01,2362.633576483781
2021-03-02,2523.9376683090672
2021-03-03,2533.4261557839136
2021-03-04,2514.4493510704915
2021-03-05,2476.4950398920128
2021-03-08,2485.9836967260458
2021-03-09,2419.5642849814567
2021-03-10,2467.006591796875
2021-03-12,2485.983665267774
2021-03-15,2571.3799342105262
2021-03-16,2523.9378391877385
2021-03-17,2504.9605783045977
2021-03-18,2514.4492384966684
2021-03-19,2580.8686145064576
2021-03-22,2561.8916568396226
2021-03-23,2561.8917332338483
2021-03-24,2551.194921115029
2021-03-25,2531.570377349853
2021-03-26,2531.5703447987594
2021-03-29,2511.945833333333
2021-03-30,2511.9458992094865
2021-03-31,2453.0721524866617
2021-04-01,2453.072086457283
2021-04-05,2472.6966302710844
2021-04-06,2443.2597014286607
2021-04-07,2472.696744534338
2021-04-08,2453.071989386205
2021-04-09,2502.133416724481
2021-04-12,2521.758221338666
2021-04-13,2433.4476221478176
2021-04-14,2492.321321871912
2021-04-15,2511.9459325396824
2021-04-16,2492.3213549417164
2021-04-19,2453.0720538403616
2021-04-20,2433.447509765625
2021-04-21,2413.822785794005
2021-04-22,2423.635073541135
2021-04-23,2374.5738436070887
2021-04-26,2394.198156380753
2021-04-27,2345.13710715554
2021-04-28,2394.198356382308
2021-04-29,2443.259765625
2021-04-30,2443.259584743484
2021-05-03,2394.198552911932
2021-05-04,2374.573908571337
2021-05-05,2413.823131214489
2021-05-06,2404.0105623472864
2021-05-07,2404.0107278262867
2021-05-10,2364.761293802301
2021-05-11,2354.9488546080506
2021-05-17,2345.136782618012
2021-05-18,2345.1365677138506
2021-05-19,2276.450844920154
2021-05-20,2217.5771484375
2021-05-21,2247.014030227334
2021-05-24,2305.8878598420515
2021-05-25,2266.638272560249
2021-05-27,2354.9493036684785
2021-05-28,2286.262971023033
2021-05-31,2305.8880157470703
2021-06-02,2413.823064084913
2021-06-03,2423.6349160156246
2021-06-04,2453.0719367825254
2021-06-07,2433.4473612882653
2021-06-08,2413.823199462891
2021-06-09,2384.386132217035
2021-06-10,2423.635221419796
2021-06-11,2462.88427734375
2021-06-14,2472.696565301295
2021-06-15,2472.696744534338
2021-06-16,2482.50885325884
2021-06-17,2453.072086457283
2021-06-18,2423.635221419796
2021-06-21,2394.198339438537
2021-06-22,2384.3858598099064
2021-06-23,2443.2597808204746
2021-06-24,2394.198156380753
2021-06-25,2354.9488546080506
2021-06-28,2286.263100071957
2021-06-29,2296.075537743506
2021-06-30,2296.075133242849
2021-07-01,2335.3244312238494
2021-07-02,2345.136995716255
2021-07-05,2345.1368804670806
2021-07-06,2315.7001149891776
2021-07-07,2266.6387047809103
2021-07-08,2296.075133242849
2021-07-09,2315.7001149891776
2021-07-12,2305.8875458816
2021-07-13,2296.075537743506
2021-07-14,2276.450812088816
2021-07-15,2247.01420482879
2021-07-16,2305.887939453125
2021-07-19,2276.450993546196
2021-07-21,2286.2630558577266
2021-07-22,2345.13710715554
2021-07-23,2354.9490062761506
2021-07-26,2345.1366955987337
2021-07-27,2296.075471935354
2021-07-28,2256.825985666049
2021-07-29,2315.700148607337
2021-07-30,2286.263100071957
2021-08-02,2266.638556795498
2021-08-03,2237.2018060064934
2021-08-04,2286.26318359375
2021-08-05,2305.8879505504265
2021-08-06,2384.3858688546024
2021-08-09,2354.948983028017
2021-08-10,2276.45068359375
2021-08-12,2305.8876314444883
2021-08-13,2345.1371734619142
2021-08-16,2354.9490062761506
2021-08-18,2354.9493963068185
2021-08-19,2394.198321481036
2021-08-20,2315.69970703125
2021-08-23,2315.699856171548
2021-08-24,2335.3246253017705
2021-08-25,2305.887840976234
2021-08-26,2296.075471935354
2021-08-27,2286.262971023033
2021-08-30,2296.075552291229
2021-08-31,2354.949330814549
2021-09-01,2394.198620605469
2021-09-02,2374.573974609375
2021-09-03,2394.198210299745
2021-09-06,2433.447509765625
2021-09-07,2453.07177734375
2021-09-08,2472.6963515625
2021-09-09,2472.6967119832675
2021-09-10,2462.884374803112
2021-09-13,2394.198420826982
2021-09-14,2413.823064084913
2021-09-15,2423.635073541135
2021-09-16,2423.635286656822
2021-09-17,2404.0108420632105
2021-09-20,2364.761474609375
2021-09-21,2364.761293802301
2021-09-22,2345.1368342898018
2021-09-23,2404.0105623472864
2021-09-24,2384.3858688546024
2021-09-27,2354.9488546080506
2021-09-28,2335.32470703125
2021-09-29,2335.324884033203
2021-09-30,2374.5738436070887
2021-10-01,2413.823064084913
2021-10-04,2423.635113454693
2021-10-05,2531.5703447987594
2021-10-06,2541.3826506643586
2021-10-07,2610.0687820662315
2021-10-08,2639.5056302720222
2021-10-11,2708.191650390625
2021-10-12,2737.6283857073104
2021-10-13,2776.8774095991967
2021-10-14,2796.502132615146
2021-10-15,2816.1267414226395
2021-10-18,2825.9389971689893
2021-10-19,2845.563540988498
2021-10-21,2816.126708984375
2021-10-22,2786.6898125542534
2021-10-25,2816.1270199424343
2021-10-26,2786.689844430531
2021-10-27,2825.9390297202794
2021-10-28,2796.5023293274576
2021-10-29,2816.126708984375
2021-11-01,2845.5635735382184
2021-11-02,2816.126907077124
2021-11-03,2737.6287057976974
2021-11-04,2845.5635735382184
